row_id,order_priority,discount,unitprice,shipping_cost,customer_id,customer_first_name,customer_last_name,customer_segment,product_category,product_subcategory,product_container,product_name,product_base_margin,order_date,ship_date,profit,quantity_ordered_new,sales,order_id,region,district
24564,Critical,0.01,4.84,0.71,6,Dwight,Hwang,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,2012-12-29,2012-12-31,57.5805,17,83.45,90200,West,Dungun
24565,Critical,0.1,85.99,0.99,6,Dwight,Hwang,Home Office,Technology,Telephones And Communication,Wrap Bag,Accessory34,0.55,2012-12-29,2012-12-31,1176.5052,24,1705.08,90200,West,Gombak
21866,High,0.05,12.28,4.86,7,Leon,Gill,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,0.38,2012-10-30,2012-10-31,72.9928,19,232.95,90198,East,Gombak
20876,Medium,0.08,140.98,36.09,8,Melanie,Garner,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,2012-12-25,2012-12-26,-158.74,5,705.47,90199,East,Gombak
20877,Medium,0.1,286.85,61.76,9,Lorraine,Houston,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,2012-12-25,2012-12-27,-346.6151975,8,1794.27,90199,East,Gombak
22241,Critical,0.06,15.57,1.39,10,Meredith,Norris,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,0.38,2011-10-04,2011-10-05,142.7955,14,206.95,90195,East,Gombak
21776,Critical,0.06,9.48,7.29,11,Marcus,Dunlap,Home Office,Furniture,Office Furnishings,Small Pack,"Dax Two-Tone Rosewood/Black Document Frame, Desktop, 5 X 7",0.45,2010-08-15,2010-08-17,-53.8096,22,211.15,90192,East,Gombak
23328,High,0.04,10.98,3.37,12,Kara,Pace,Home Office,Office Supplies,"Scissors, Rulers And Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,2012-02-24,2012-02-26,23.12,8,90.39,90196,East,Gombak
24844,Medium,0.09,78.69,19.99,14,Gwendolyn,Tyson,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave Ds ™ Wall Clock,0.43,2010-05-12,2010-05-14,803.4705,16,1164.45,86838,Central,Gombak
24846,Medium,0.08,3.28,2.31,14,Gwendolyn,Tyson,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,2010-05-12,2010-05-13,-24.03,7,22.23,86838,Central,Gombak
24847,Medium,0.05,3.28,4.2,14,Gwendolyn,Tyson,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,2010-05-12,2010-05-13,-37.03,4,13.99,86838,Central,Gombak
24848,Medium,0.05,3.58,1.63,14,Gwendolyn,Tyson,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"Oic Colored Binder Clips, Assorted Sizes",0.36,2010-05-12,2010-05-13,-0.71,4,14.26,86838,Central,Gombak
24845,Medium,0.01,6.48,7.86,14,Gwendolyn,Tyson,Small Business,Office Supplies,Paper,Small Box,Xerox 213,0.37,2013-05-12,2013-05-13,-44.54,4,29.55,86845,Central,Gombak
18181,Critical,0.0,4.42,4.99,15,Timothy,Reese,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,2010-04-08,2010-04-09,-59.82,7,33.47,86837,East,Gua Musang
20925,Medium,0.01,35.94,6.66,15,Timothy,Reese,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,2010-05-28,2010-05-28,261.8757,10,379.53,86839,East,Hilir Perak
18263,Medium,0.03,1.76,0.7,15,Timothy,Reese,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,2011-12-04,2011-12-06,-1.17,10,17.39,86840,East,Hilir Perak
18554,Medium,0.04,5.98,5.2,15,Timothy,Reese,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,0.36,2012-04-29,2012-05-01,-24.03,3,19.04,86841,East,Hulu Selangor
22781,Low,0.0,7.59,4.0,15,Timothy,Reese,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",0.42,2013-01-19,2013-01-21,23.2668,4,33.72,86842,East,Hulu Selangor
23287,Low,0.07,4.13,6.89,15,Timothy,Reese,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels For Typewriters, On Rolls, White, 250/Roll",0.39,2013-01-21,2013-01-23,-174.2696,9,38.18,86843,East,Jasin
26267,High,0.04,2.98,1.58,16,Sarah,Ramsey,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,2010-02-12,2010-02-15,2.63,6,18.8,86836,East,Jasin
26268,High,0.05,115.99,2.5,16,Sarah,Ramsey,Small Business,Technology,Telephones And Communication,Small Box,Startac 7797,0.55,2010-02-12,2010-02-14,652.7331,10,945.99,86836,East,Jasin
26266,High,0.08,14.27,7.27,16,Sarah,Ramsey,Small Business,Office Supplies,Binders And Binder Accessories,Small Box,"Gbc Laser Imprintable Binding System Covers, Desert Sand",0.38,2013-02-12,2013-02-15,3.4595,3,45.6,86844,East,Jasin
19359,Low,0.05,5.85,2.27,17,Florence,Hsu,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,2011-04-20,2011-04-24,-6.82,2,12.18,90033,West,Jasin
20459,Critical,0.05,7.77,9.23,17,Florence,Hsu,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,2012-04-06,2012-04-08,-96.33,4,34.75,90034,West,Jasin
23890,High,0.05,26.48,6.93,18,Laurie,Hanna,Small Business,Furniture,Office Furnishings,Small Box,Dax Natural Wood-Tone Poster Frame,0.49,2010-05-15,2010-05-16,314.4813,17,455.77,90031,West,Jasin
21763,Critical,0.08,42.98,4.62,18,Laurie,Hanna,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,2012-05-15,2012-05-16,446.0781,15,646.49,90035,West,Jelebu
21764,Critical,0.07,8.04,8.94,18,Laurie,Hanna,Small Business,Office Supplies,Binders And Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/Pkg",0.4,2012-05-15,2012-05-15,-117.1045,9,75.85,90035,West,Jelebu
24062,Not Specified,0.08,5.0,3.39,18,Laurie,Hanna,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,2013-05-21,2013-05-22,-17.49,13,65.69,90038,West,Jelebu
20578,Low,0.02,110.98,30.0,18,Laurie,Hanna,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair With White Frame,0.71,2013-10-02,2013-10-04,126.31,22,2575.93,90039,West,Jelebu
20579,Low,0.01,12.53,0.5,18,Laurie,Hanna,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,2013-10-02,2013-10-04,152.7867,17,221.43,90039,West,Jelebu
24063,Not Specified,0.07,12.99,9.44,19,Jim,Rodgers,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,2010-05-21,2010-05-23,-114.6399,18,231.79,90032,West,Jelebu
25082,Not Specified,0.06,64.65,35.0,20,Marion,Nolan,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,2012-05-31,2012-06-02,-929.68,13,802.21,90036,Central,Kampar
25083,Not Specified,0.0,15.23,27.75,20,Marion,Nolan,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,2012-05-31,2012-06-01,-53.784,1,24.48,90036,Central,Kampar
25711,Medium,0.0,30.98,17.08,20,Marion,Nolan,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,2013-03-07,2013-03-08,-41.82,1,49.61,90037,Central,Kampar
5890,High,0.05,26.48,6.93,21,Tony,Wilkins,Small Business,Furniture,Office Furnishings,Small Box,Dax Natural Wood-Tone Poster Frame,0.49,2010-05-15,2010-05-16,384.38,70,1876.69,41793,East,Kampar
6062,Not Specified,0.08,5.0,3.39,21,Tony,Wilkins,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,2010-05-21,2010-05-22,-17.49,58,293.06,42949,East,Kampar
6063,Not Specified,0.07,12.99,9.44,21,Tony,Wilkins,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,2010-05-21,2010-05-23,-114.6399,71,914.29,42949,East,Kampar
7711,Medium,0.0,30.98,17.08,21,Tony,Wilkins,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,2011-03-07,2011-03-08,-41.82,1,49.61,55269,East,Kampar
1359,Low,0.05,5.85,2.27,21,Tony,Wilkins,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,2011-04-20,2011-04-24,-6.82,9,54.79,9895,East,Kampar
2459,Critical,0.05,7.77,9.23,21,Tony,Wilkins,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,2012-04-06,2012-04-08,-96.33,18,156.38,17860,East,Kampar
3763,Critical,0.08,42.98,4.62,21,Tony,Wilkins,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,2012-05-15,2012-05-16,461.65,60,2585.97,26887,East,Kampar
3764,Critical,0.07,8.04,8.94,21,Tony,Wilkins,Small Business,Office Supplies,Binders And Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/Pkg",0.4,2012-05-15,2012-05-15,-117.1045,36,303.4,26887,East,Kampar
7082,Not Specified,0.06,64.65,35.0,21,Tony,Wilkins,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,2012-05-31,2012-06-02,-929.68,50,3085.41,50533,East,Kampar
7083,Not Specified,0.0,15.23,27.75,21,Tony,Wilkins,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,2012-05-31,2012-06-01,-53.784,5,122.4,50533,East,Kampar
2578,Low,0.02,110.98,30.0,21,Tony,Wilkins,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair With White Frame,0.71,2013-10-02,2013-10-04,126.31,88,10303.73,18596,East,Kerian
2579,Low,0.01,12.53,0.5,21,Tony,Wilkins,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,2013-10-02,2013-10-04,223.38,67,872.68,18596,East,Kerian
19249,High,0.05,14.34,5.0,23,Lynn,Moss,Corporate,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,0.49,2011-11-11,2011-11-12,284.526,36,519.23,87655,West,Kerian
19250,High,0.0,30.98,8.74,23,Lynn,Moss,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,0.4,2011-11-11,2011-11-12,859.2639,37,1245.31,87655,West,Kerian
18350,Not Specified,0.07,22.84,5.47,23,Lynn,Moss,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,0.39,2012-09-10,2012-09-13,83.24,7,165.11,87660,West,Kerian
18478,Low,0.1,146.05,80.2,23,Lynn,Moss,Corporate,Furniture,Tables,Jumbo Box,Bpi Conference Tables,0.71,2013-11-18,2013-11-25,353.77216,11,1591.71,87669,West,Kerian
20631,High,0.06,55.48,14.3,24,Edna,Thomas,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,2010-01-28,2010-01-29,-28.2968,1,67.49,87651,West,Kerian
20632,High,0.02,1.68,1.57,24,Edna,Thomas,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,2010-01-28,2010-01-30,-5.3072,1,2.25,87651,West,Kerian
20309,Not Specified,0.07,205.99,2.5,24,Edna,Thomas,Corporate,Technology,Telephones And Communication,Small Box,V70,0.59,2012-03-02,2012-03-04,1489.8411,13,2159.19,87656,West,Kerian
20625,High,0.06,21.38,8.99,24,Edna,Thomas,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 Standup Electric Pencil Sharpener,0.59,2012-12-19,2012-12-20,-23.415,5,105.99,87662,West,Klang
21196,Critical,0.07,11.7,6.96,24,Edna,Thomas,Corporate,Office Supplies,Appliances,Medium Box,Harmony Hepa Quiet Air Purifiers,0.5,2013-01-13,2013-01-14,-88.102,8,89.77,87663,West,Klang
21253,High,0.02,5.98,3.85,25,Virginia,Hardison,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" Ibm-Formatted Diskettes, 10/Pack",0.68,2012-04-18,2012-04-20,-27.13,1,7.12,87657,West,Kluang
21254,High,0.05,5.98,5.2,25,Virginia,Hardison,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,0.36,2012-04-18,2012-04-20,-10.58,1,7.81,87657,West,Kluang
21251,Critical,0.06,25.98,5.37,25,Virginia,Hardison,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,0.5,2013-07-02,2013-07-04,86.51776,7,174.54,87666,West,Kluang
21252,Critical,0.05,155.06,7.07,25,Virginia,Hardison,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,2013-07-02,2013-07-04,1268.4891,12,1838.39,87666,West,Kluang
22410,Medium,0.08,59.98,3.99,26,Marguerite,Kane,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet Surgemaster Ii Gold Surge Protector,0.57,2012-06-27,2012-06-29,420.984,11,619.14,87658,West,Kluang
22737,Not Specified,0.0,2.89,0.5,26,Marguerite,Kane,Corporate,Office Supplies,Labels,Small Box,Avery 498,0.38,2013-09-02,2013-09-03,19.4097,7,28.13,87667,West,Kluang
21292,High,0.09,3.69,0.5,26,Marguerite,Kane,Corporate,Office Supplies,Labels,Small Box,Avery 52,0.38,2013-12-11,2013-12-12,37.3704,15,54.16,87670,West,Kluang
21293,High,0.06,65.99,8.99,26,Marguerite,Kane,Corporate,Technology,Telephones And Communication,Small Box,V 3600 Series,0.58,2013-12-11,2013-12-12,-85.606752,3,170.67,87670,West,Kluang
23967,Not Specified,0.04,4.14,6.6,27,Guy,Gallagher,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,2010-11-02,2010-11-04,8.894,12,54.78,87652,West,Kota Bharu
23535,Low,0.1,35.44,19.99,27,Guy,Gallagher,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,0.38,2012-07-12,2012-07-14,-47.01,4,142.51,87659,West,Kota Bharu
23536,Low,0.06,55.48,14.3,27,Guy,Gallagher,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,2012-07-12,2012-07-17,346.7043,9,502.47,87659,West,Kota Kinabalu
23505,Critical,0.0,8.09,7.96,27,Guy,Gallagher,Corporate,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,2012-10-26,2012-10-26,-171.2664,23,204.57,87661,West,Kota Kinabalu
23506,Critical,0.06,14.2,5.3,27,Guy,Gallagher,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,0.46,2012-10-26,2012-10-28,33.4144,11,161.11,87661,West,Kota Samarahan
23968,Not Specified,0.01,65.99,8.99,27,Guy,Gallagher,Corporate,Technology,Telephones And Communication,Small Box,Sc-3160,0.59,2013-11-02,2013-11-04,847.943712,29,1730.04,87668,West,Kota Tinggi
24987,High,0.06,2.88,0.7,28,Ronnie,Mcnamara,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,0.56,2011-01-22,2011-01-23,-2.2072,1,3.41,87653,West,Kota Tinggi
24074,Critical,0.07,225.04,11.79,28,Ronnie,Mcnamara,Corporate,Office Supplies,Appliances,Medium Box,Holmes Harmony Hepa Air Purifier For 17 X 20 Room,0.42,2013-04-14,2013-04-16,28.81,1,226.03,87665,West,Kota Tinggi
25324,Not Specified,0.08,65.99,3.9,29,Elizabeth,Walker,Corporate,Technology,Telephones And Communication,Small Box,Startac Series,0.55,2011-01-30,2011-02-01,-120.52304,3,164.1,87654,West,Kota Tinggi
25323,Not Specified,0.08,3.08,0.99,29,Elizabeth,Walker,Corporate,Office Supplies,Labels,Small Box,Avery 481,0.37,2013-01-30,2013-01-31,-1.6864,1,3.85,87664,West,Kota Tinggi
18877,High,0.01,6.48,6.65,31,Alice,Capps,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,0.36,2012-08-11,2012-08-13,-43.3316,15,99.56,89206,West,Kota Tinggi
23509,High,0.08,34.99,7.73,32,Matthew,Berman,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount Ks Pencil Sharpener,0.59,2010-02-22,2010-02-23,144.69,13,424.68,89199,West,Kota Tinggi
23612,High,0.01,17.98,8.51,32,Matthew,Berman,Corporate,Technology,Office Machines,Medium Box,Canon P1-Dhiii Palm Printing Calculator,0.4,2010-03-27,2010-03-28,-35.8788,2,40.17,89200,West,Kota Tinggi
23278,Medium,0.09,125.99,7.69,32,Matthew,Berman,Corporate,Technology,Telephones And Communication,Small Box,Startac 3000,0.59,2010-07-20,2010-07-22,209.997,8,783.55,89202,West,Kuala Kangsar
19355,Low,0.06,205.99,8.99,32,Matthew,Berman,Corporate,Technology,Telephones And Communication,Small Box,Timeportp7382,0.56,2010-09-12,2010-09-19,2568.096,22,3838.14,89203,West,Kuala Kangsar
21213,Critical,0.08,8.95,2.01,32,Matthew,Berman,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",0.39,2011-10-06,2011-10-08,85.8636,15,133.07,89204,West,Kuala Kangsar
22221,High,0.06,449.99,49.0,32,Matthew,Berman,Corporate,Technology,Copiers And Fax,Jumbo Drum,Canon Pc940 Copier,0.38,2013-06-12,2013-06-14,345.0,5,2157.25,89207,West,Kuala Langat
23654,Not Specified,0.03,4.24,5.41,33,Ricky,Hensley,Corporate,Office Supplies,Binders And Binder Accessories,Small Box,Storex Duratech Recycled Plastic Frosted Binders,0.35,2010-06-15,2010-06-17,-84.4376,13,58.68,89201,West,Kuala Langat
23655,Not Specified,0.04,2.94,0.7,33,Ricky,Hensley,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,2010-06-15,2010-06-16,24.312,18,53.1,89201,West,Kuala Langat
25327,Medium,0.05,4.82,5.24,33,Ricky,Hensley,Corporate,Office Supplies,Binders And Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool For Ring Binders,0.39,2012-01-26,2012-01-27,-75.12168,5,24.27,89205,West,Kuala Langat
24531,Critical,0.05,70.98,30.0,33,Ricky,Hensley,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,0.78,2013-08-16,2013-08-18,-162.15032,9,640.97,89208,West,Kuala Langat
24532,Critical,0.05,4.98,4.7,33,Ricky,Hensley,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. And 84 Bright),0.38,2013-08-16,2013-08-18,-14.99264,9,46.63,89208,West,Kuala Langat
25223,Not Specified,0.0,6783.02,24.49,35,Milton,Bland,Small Business,Technology,Office Machines,Large Box,Polycom Viewstation™ Isdn Videoconferencing Unit,0.39,2012-11-27,2012-11-28,2396.87958,3,21366.51,91256,West,Kuala Langat
21026,Low,0.07,65.99,3.99,35,Milton,Bland,Small Business,Technology,Telephones And Communication,Small Box,Startac 7760,0.59,2013-05-28,2013-06-02,165.501,7,394.37,91257,West,Kuala Langat
25224,Not Specified,0.02,9.27,4.39,36,Ray,Morgan,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" X 5"" Forms Per Page, 600 Sets Per Book",0.38,2012-11-27,2012-11-29,71.434,29,272.98,91256,West,Kuala Langat
25225,Not Specified,0.03,6.68,6.15,36,Ray,Morgan,Small Business,Office Supplies,Paper,Small Box,Xerox 1968,0.37,2012-11-27,2012-11-29,5.65,10,73.81,91256,West,Kuala Langat
25226,Not Specified,0.1,5.78,5.67,37,Stacy,Chandler,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,0.36,2012-11-27,2012-11-30,7.67,11,62.59,91256,West,Kuala Langat
20935,Medium,0.02,1.68,1.57,39,Ian,O'Donnell,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,2011-07-03,2011-07-04,-30.54,10,17.12,88682,Central,Kuala Langat
20936,Medium,0.1,7.08,2.35,39,Ian,O'Donnell,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Major Accent™ Highlighters,0.47,2011-07-03,2011-07-05,23.82,14,90.8,88682,Central,Kuala Langat
18911,Critical,0.07,28.15,8.99,39,Ian,O'Donnell,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",0.57,2013-06-12,2013-06-15,-15.464,4,113.59,88684,Central,Kuala Langat
18673,Not Specified,0.09,7.98,6.5,40,Seth,Grimes,Corporate,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,0.59,2013-03-21,2013-03-23,-71.44,4,30.96,88683,West,Kuala Langat
22406,Not Specified,0.09,45.99,4.99,42,Alexandra,Fuller,Consumer,Technology,Telephones And Communication,Small Box,Kf 788,0.56,2012-11-05,2012-11-06,24.1868,8,299.74,91455,West,Kuala Langat
23753,Not Specified,0.07,8.09,7.96,42,Alexandra,Fuller,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,2013-11-26,2013-11-29,63.48448,36,291.56,91458,West,Kuala Langat
23754,Not Specified,0.03,20.99,1.25,42,Alexandra,Fuller,Consumer,Technology,Telephones And Communication,Small Pack,Accessory29,0.83,2013-11-26,2013-11-27,43.271712,9,158.27,91458,West,Kuala Langat
25933,High,0.0,99.99,19.99,43,Theodore,Moran,Consumer,Technology,Office Machines,Small Box,At&T 2230 Dual Handset Phone With Caller Id/Call Waiting,0.52,2010-11-10,2010-11-11,25.91382,6,647.07,91454,West,Kuala Lumpur
25438,Low,0.05,9.31,3.98,43,Theodore,Moran,Consumer,Office Supplies,"Scissors, Rulers And Trimmers",Small Pack,Acme® Forged Steel Scissors With Black Enamel Handles,0.56,2013-02-26,2013-03-04,-17.58,9,83.01,91456,West,Kuala Lumpur
25331,Critical,0.06,95.98,58.2,43,Theodore,Moran,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Deluxe Office Fabric Chairs,0.58,2013-08-30,2013-09-01,-336.38464,15,1396.96,91457,West,Kuala Lumpur
23651,Medium,0.1,39.48,3.99,45,Melinda,Sloan,Home Office,Office Supplies,Appliances,Small Box,Belkin 7 Outlet Surgemaster Surge Protector With Phone Protection,0.56,2012-02-24,2012-02-26,338.6244,13,490.76,91578,Central,Kuala Lumpur
25399,Not Specified,0.08,5.81,3.37,45,Melinda,Sloan,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Advantus Push Pins, Aluminum Head",0.54,2012-09-23,2012-09-23,-51.25,18,97.85,91579,Central,Kuala Selangor
25397,Not Specified,0.0,30.97,4.0,46,Anne,Nguyen,Home Office,Technology,Computer Peripherals,Small Box,Microsoft Multimedia Keyboard,0.74,2012-09-23,2012-09-25,21.624,3,94.62,91579,South,Kuala Selangor
25398,Not Specified,0.0,17.67,8.99,46,Anne,Nguyen,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 12"" Wall Clock",0.47,2012-09-23,2012-09-25,-78.092,20,368.39,91579,South,Kuala Terengganu
20727,Medium,0.06,17.98,8.51,48,Geoffrey,Hewitt,Corporate,Technology,Office Machines,Medium Box,Canon P1-Dhiii Palm Printing Calculator,0.4,2011-08-15,2011-08-15,-27.600924,1,21.16,87712,Central,Kuala Terengganu
19337,Medium,0.07,4.13,0.5,48,Geoffrey,Hewitt,Corporate,Office Supplies,Labels,Small Box,Avery 506,0.39,2012-08-13,2012-08-16,60.8097,22,88.13,87713,Central,Kuala Terengganu
18362,High,0.03,7.31,0.49,48,Geoffrey,Hewitt,Corporate,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels For Typewriters By Universal,0.38,2012-10-10,2012-10-11,94.8198,19,137.42,87714,Central,Kuala Terengganu
18363,High,0.01,20.99,2.5,48,Geoffrey,Hewitt,Corporate,Technology,Telephones And Communication,Wrap Bag,Accessory37,0.81,2012-10-10,2012-10-11,-85.27464,12,213.02,87714,Central,Kuala Terengganu
20726,High,0.06,39.24,1.99,48,Geoffrey,Hewitt,Corporate,Technology,Computer Peripherals,Small Pack,Verbatim Dvd-R 4.7Gb Authoring Disc,0.51,2013-01-11,2013-01-12,229.0593,9,331.97,87715,Central,Kudat
23944,High,0.08,67.84,0.99,49,Terri,Lyons,Corporate,Office Supplies,Appliances,Small Box,Fellowes Command Center 5-Outlet Power Strip,0.58,2011-03-29,2011-03-29,-12.82,1,64.91,87710,Central,Machang
